Esta_na_Capa,Grupo,Subgrupo,Primeiro_Capitulo,Ultimo_Capitulo,Porcentagem_de_Capitulos_do_Volume,E_a_Primeira_Aparicao_no_manga,Distancia_da_Primeira_Aparicao_em_capitulos,Numero_total_de_capitulos_que_apareceu,Numero_de_capitulos_ate_o_volume,Nome_do_Personagem,Volume,Numero_de_Capitulos_no_Volume,Distancia_da_Primeira_Aparicao_em_volumes,Volume_num
0,Citizens,Shells Town,4,7,0.0,1,,2,0,Ririka,Volume_1,2,0.0,1
0,Pirates,Alvida Pirates,2,2,0.0,1,,1,0,Heppoko,Volume_1,1,0.0,1
1,Marines,Others,2,8,0.88,1,,7,0,Roronoa Zoro,Volume_1,7,0.0,1
0,Others,Others,1,3,0.0,1,,2,0,Mikio Itoo,Volume_1,2,0.0,1
0,Pirates,Red Hair Pirates,1,1,0.0,1,,1,0,Benn Beckman,Volume_1,1,0.0,1
0,Pirates,Red Hair Pirates,1,1,0.0,1,,1,0,Lucky Roux,Volume_1,1,0.0,1
0,Pirates,Red Hair Pirates,1,1,0.0,1,,1,0,Yasopp,Volume_1,1,0.0,1
0,Pirates,Red Hair Pirates,1,1,0.0,1,,1,0,Limejuice,Volume_1,1,0.0,1
0,Pirates,Alvida Pirates,2,2,0.0,1,,1,0,Alvida,Volume_1,1,0.0,1
0,Pirates,Red Hair Pirates,1,1,0.0,1,,1,0,Bonk Punch,Volume_1,1,0.0,1
0,Pirates,Red Hair Pirates,1,1,0.0,1,,1,0,Monster,Volume_1,1,0.0,1
0,Pirates,Others,1,1,0.0,1,,1,0,Gold Roger,Volume_1,1,0.0,1
1,Pirates,Others,1,8,1.0,1,,8,0,Monkey D. Luffy,Volume_1,8,0.0,1
0,Pirates,Red Hair Pirates,1,1,0.0,1,,1,0,Hongo,Volume_1,1,0.0,1
0,Citizens,Foosha Village,1,1,0.0,1,,1,0,Makino,Volume_1,1,0.0,1
0,Citizens,Foosha Village,1,1,0.0,1,,1,0,Woop Slap,Volume_1,1,0.0,1
0,Citizens,Foosha Village,1,1,0.0,1,,1,0,Gyoru,Volume_1,1,0.0,1
0,Citizens,Foosha Village,1,1,0.0,1,,1,0,Chicken,Volume_1,1,0.0,1
0,Citizens,Others,1,1,0.0,1,,1,0,Anjo,Volume_1,1,0.0,1
0,Animals,Others,1,1,0.0,1,,1,0,Lord of the Coast,Volume_1,1,0.0,1
0,Others,Others,1,1,0.0,1,,1,0,Higuma,Volume_1,1,0.0,1
1,Pirates,Others,1,8,0.25,1,,2,0,Nami,Volume_1,2,0.0,1
0,Citizens,Cocoyasi Village,82,90,0.0,1,,9,0,Genzo,Volume_10,9,0.0,10
0,Citizens,Cocoyasi Village,82,90,0.0,1,,7,0,Nako,Volume_10,7,0.0,10
0,Marines,Others,82,90,0.0,1,,9,0,Yosaku,Volume_10,9,0.0,10
0,Marines,Chore Boy,83,90,0.0,0,,7,0,Koby,Volume_10,7,9.0,10
0,Marines,Commander,88,88,0.0,0,,1,0,Ripper,Volume_10,1,9.0,10
0,Pirates,Arlong Pirates,85,85,0.0,1,,1,0,Dracule Mihawk,Volume_10,1,0.0,10
0,Citizens,Cocoyasi Village,85,85,0.0,0,,1,0,Rika,Volume_10,1,9.0,10
0,Marines,Commander,88,89,0.0,0,,2,0,Morgan,Volume_10,2,9.0,10
0,Citizens,Cocoyasi Village,82,90,0.0,1,,9,0,Nojiko,Volume_10,9,0.0,10
0,Marines,Chore Boy,83,90,0.0,0,,7,0,Helmeppo,Volume_10,7,9.0,10
1,Pirates,Arlong Pirates,82,83,0.22,1,,2,0,Momoo,Volume_10,2,0.0,10
0,Marines,Others,82,90,0.0,1,,9,0,Johnny,Volume_10,9,0.0,10
0,Pirates,Arlong Pirates,82,82,0.0,1,,1,0,Kaneshiro,Volume_10,1,0.0,10
0,Pirates,Arlong Pirates,82,82,0.0,1,,1,0,Shioyaki,Volume_10,1,0.0,10
0,Pirates,Straw Hat Pirates,82,90,0.0,0,,9,0,Roronoa Zoro,Volume_10,9,9.0,10
0,Pirates,Straw Hat Pirates,82,90,0.0,1,,7,0,Usopp,Volume_10,7,0.0,10
0,Pirates,Straw Hat Pirates,82,90,0.0,1,,9,0,Sanji,Volume_10,9,0.0,10
1,Pirates,Arlong Pirates,82,90,1.0,1,,9,0,Arlong,Volume_10,9,0.0,10
1,Pirates,Straw Hat Pirates,82,90,1.0,0,,9,0,Monkey D. Luffy,Volume_10,9,9.0,10
1,Pirates,Arlong Pirates,82,88,0.56,1,,5,0,Chew,Volume_10,5,0.0,10
1,Pirates,Arlong Pirates,82,87,0.67,1,,6,0,Kuroobi,Volume_10,6,0.0,10
0,Pirates,Arlong Pirates,82,90,0.0,0,,6,0,Nami,Volume_10,6,9.0,10
1,Pirates,Arlong Pirates,82,89,0.89,1,,8,0,Hatchan,Volume_10,8,0.0,10
0,Pirates,Straw Hat Pirates,96,96,0.0,0,,1,0,Dracule Mihawk,Volume_11,1,5.0,11
0,Marines,Vice Admiral,96,96,0.0,1,,1,0,Brannew,Volume_11,1,0.0,11
0,Pirates,Yes Pirates,96,96,0.0,1,,1,0,Koze,Volume_11,1,0.0,11
0,Pirates,Yes Pirates,96,96,0.0,1,,1,0,Packy,Volume_11,1,0.0,11
0,Pirates,Yes Pirates,96,99,0.0,0,,3,0,Buggy,Volume_11,3,10.0,11
0,Pirates,Yes Pirates,96,96,0.0,1,,1,0,Krieg,Volume_11,1,0.0,11
0,Marines,Vice Admiral,96,96,0.0,1,,1,0,John Giant,Volume_11,1,0.0,11
0,Marines,Vice Admiral,96,96,0.0,1,,1,0,Stainless,Volume_11,1,0.0,11
0,Marines,Vice Admiral,96,96,0.0,1,,1,0,Cancer,Volume_11,1,0.0,11
0,Marines,Vice Admiral,96,99,0.0,1,,4,0,Tashigi,Volume_11,4,0.0,11
0,Citizens,Loguetown,97,97,0.0,1,,1,0,Hanger,Volume_11,1,0.0,11
0,Citizens,Foosha Village,96,96,0.0,0,,1,0,Woop Slap,Volume_11,1,10.0,11
0,Pirates,Straw Hat Pirates,97,99,0.0,0,,3,0,Alvida,Volume_11,3,10.0,11
0,Marines,Officer,97,99,0.0,1,,3,0,Smoker,Volume_11,3,0.0,11
0,Pirates,Straw Hat Pirates,96,96,0.0,0,,1,0,Lucky Roux,Volume_11,1,10.0,11
0,Citizens,Loguetown,97,97,0.0,1,,1,0,Ipponmatsu,Volume_11,1,0.0,11
0,Citizens,Loguetown,97,97,0.0,1,,1,0,Ipponume,Volume_11,1,0.0,11
0,Pirates,Straw Hat Pirates,98,99,0.0,1,,2,0,Cabaji,Volume_11,2,0.0,11
0,Marines,Chief Petty Officer,98,98,0.0,1,,1,0,Mashikaku,Volume_11,1,0.0,11
0,Citizens,Loguetown,98,98,0.0,1,,1,0,Sapi,Volume_11,1,0.0,11
0,Citizens,Loguetown,98,98,0.0,1,,1,0,Yu,Volume_11,1,0.0,11
0,Pirates,Straw Hat Pirates,99,99,0.0,0,,1,0,Gold Roger,Volume_11,1,10.0,11
0,Citizens,Foosha Village,96,96,0.0,0,,1,0,Makino,Volume_11,1,10.0,11
0,Pirates,Straw Hat Pirates,96,96,0.0,0,,1,0,Benn Beckman,Volume_11,1,10.0,11
0,Citizens,Cocoyasi Village,94,94,0.0,1,,1,0,Sam,Volume_11,1,0.0,11
0,Pirates,Straw Hat Pirates,96,96,0.0,0,,1,0,Shanks,Volume_11,1,10.0,11
0,Pirates,Straw Hat Pirates,99,99,0.0,1,,1,0,Richie,Volume_11,1,0.0,11
1,Pirates,Straw Hat Pirates,91,99,1.0,0,,9,0,Monkey D. Luffy,Volume_11,9,10.0,11
1,Pirates,Straw Hat Pirates,91,99,0.89,0,,8,0,Usopp,Volume_11,8,8.0,11
1,Pirates,Straw Hat Pirates,91,99,1.0,0,,9,0,Sanji,Volume_11,9,6.0,11
0,Pirates,Arlong Pirates,91,96,0.0,0,,5,0,Arlong,Volume_11,5,6.0,11
0,Marines,Chore Boy,91,99,0.0,0,,7,0,Koby,Volume_11,7,10.0,11
0,Marines,Chore Boy,91,98,0.0,0,,7,0,Helmeppo,Volume_11,7,10.0,11
0,Citizens,Cocoyasi Village,91,95,0.0,0,,5,0,Nojiko,Volume_11,5,3.0,11
0,Citizens,Cocoyasi Village,91,95,0.0,0,,5,0,Genzo,Volume_11,5,3.0,11
1,Citizens,Cocoyasi Village,91,99,1.0,0,,9,0,Nami,Volume_11,9,10.0,11
0,Pirates,Straw Hat Pirates,96,96,0.0,0,,1,0,Yasopp,Volume_11,1,10.0,11
0,Marines,Others,91,95,0.0,0,,5,0,Yosaku,Volume_11,5,6.0,11
0,Marines,Vice Admiral,92,93,0.0,1,,2,0,Garp,Volume_11,2,0.0,11
0,Marines,Vice Admiral,92,99,0.0,1,,6,0,Bogard,Volume_11,6,0.0,11
0,Marines,Vice Admiral,92,92,0.0,0,,1,0,Ripper,Volume_11,1,10.0,11
0,Marines,Chore Boy,92,96,0.0,0,,4,0,Morgan,Volume_11,4,10.0,11
0,Animals,Others,92,92,0.0,0,,1,0,Lord of the Coast,Volume_11,1,10.0,11
1,Pirates,Straw Hat Pirates,94,99,0.67,0,,6,0,Roronoa Zoro,Volume_11,6,10.0,11
0,Marines,Captain,94,94,0.0,1,,1,0,Nezumi,Volume_11,1,0.0,11
0,Citizens,Cocoyasi Village,94,95,0.0,0,,2,0,Nako,Volume_11,2,2.0,11
0,Citizens,Gosa Village,95,95,0.0,1,,1,0,Chabo,Volume_11,1,0.0,11
0,Citizens,Gosa Village,95,95,0.0,1,,1,0,Bell-mère,Volume_11,1,0.0,11
0,Marines,Others,91,95,0.0,0,,5,0,Johnny,Volume_11,5,6.0,11
0,Pirates,Straw Hat Pirates,99,99,0.0,1,,1,0,Mohji,Volume_11,1,0.0,11
0,Pirates,Others,100,100,0.0,1,,1,0,Dragon,Volume_12,1,0.0,12
1,Pirates,Straw Hat Pirates,100,108,1.0,0,,9,0,Roronoa Zoro,Volume_12,9,11.0,12
1,Pirates,Straw Hat Pirates,100,108,1.0,0,,9,0,Monkey D. Luffy,Volume_12,9,11.0,12
0,Pirates,Millions,107,107,0.0,1,,1,0,Mr. Shimizu,Volume_12,1,0.0,12
0,Pirates,Frontier Agents,107,108,0.0,1,,2,0,Miss Monday,Volume_12,2,0.0,12
0,Pirates,Frontier Agents,107,108,0.0,1,,2,0,Mr. 8,Volume_12,2,0.0,12
0,Citizens,Whisky Peak,106,108,0.0,1,,3,0,Mr. Beans,Volume_12,3,0.0,12
0,Citizens,Whisky Peak,106,108,0.0,1,,3,0,Miss Catherina,Volume_12,3,0.0,12
0,Citizens,Whisky Peak,106,106,0.0,1,,1,0,Igarappoi,Volume_12,1,0.0,12
0,Pirates,Frontier Agents,105,106,0.0,1,,2,0,Miss Friday,Volume_12,2,0.0,12
0,Pirates,Frontier Agents,105,106,0.0,1,,2,0,Mr. 13,Volume_12,2,0.0,12
0,Pirates,Frontier Agents,103,108,0.0,1,,6,0,Miss Wednesday,Volume_12,6,0.0,12
0,Pirates,Rumbar Pirates,103,103,0.0,1,,1,0,Yorki,Volume_12,1,0.0,12
0,Animals,Others,102,105,0.0,1,,4,0,Laboon,Volume_12,4,0.0,12
0,Citizens,Twin Capes Lighthouse,102,105,0.0,1,,4,0,Crocus,Volume_12,4,0.0,12
0,Marines,Chore Boy,102,105,0.0,0,,3,0,Morgan,Volume_12,3,11.0,12
0,Marines,Chore Boy,102,108,0.0,0,,3,0,Helmeppo,Volume_12,3,11.0,12
0,Pirates,Frontier Agents,103,108,0.0,1,,6,0,Mr. 9,Volume_12,6,0.0,12
0,Marines,Vice Admiral,101,108,0.0,0,,3,0,Koby,Volume_12,3,11.0,12
1,Pirates,Straw Hat Pirates,100,108,1.0,0,,9,0,Nami,Volume_12,9,11.0,12
0,Animals,Others,101,101,0.0,1,,1,0,Sea Kings,Volume_12,1,0.0,12
1,Pirates,Straw Hat Pirates,100,108,1.0,0,,9,0,Sanji,Volume_12,9,7.0,12
0,Pirates,Buggy and Alvida Alliance,100,103,0.0,0,,2,0,Buggy,Volume_12,2,11.0,12
0,Pirates,Buggy and Alvida Alliance,100,100,0.0,0,,1,0,Alvida,Volume_12,1,11.0,12
0,Pirates,Buggy and Alvida Alliance,100,100,0.0,0,,1,0,Mohji,Volume_12,1,10.0,12
0,Pirates,Buggy and Alvida Alliance,100,100,0.0,0,,1,0,Richie,Volume_12,1,10.0,12
1,Pirates,Straw Hat Pirates,100,108,1.0,0,,9,0,Usopp,Volume_12,9,9.0,12
0,Marines,Captain,100,103,0.0,0,,2,0,Smoker,Volume_12,2,1.0,12
0,Marines,Captain,100,100,0.0,0,,1,0,Tashigi,Volume_12,1,1.0,12
0,Citizens,Shimotsuki Village,100,100,0.0,0,,1,0,Kuina,Volume_12,1,11.0,12
0,Marines,Vice Admiral,101,108,0.0,0,,4,0,Garp,Volume_12,4,1.0,12
0,Marines,Vice Admiral,101,108,0.0,0,,3,0,Bogard,Volume_12,3,1.0,12
0,Pirates,Buggy and Alvida Alliance,100,100,0.0,0,,1,0,Cabaji,Volume_12,1,10.0,12
0,Pirates,Others,110,113,0.0,0,,2,0,Miss Friday,Volume_13,2,1.0,13
0,Pirates,Straw Hat Pirates,111,117,0.0,0,,6,0,Usopp,Volume_13,6,10.0,13
0,Pirates,Straw Hat Pirates,111,117,0.0,0,,6,0,Sanji,Volume_13,6,8.0,13
0,Marines,Vice Admiral,112,112,0.0,0,,1,0,Bogard,Volume_13,1,2.0,13
0,Pirates,Officer Agents,113,113,0.0,1,,1,0,Crocodile,Volume_13,1,0.0,13
0,Citizens,Little Garden,115,117,0.0,1,,3,0,Brogy,Volume_13,3,0.0,13
0,Pirates,Others,114,114,0.0,1,,1,0,Banchi,Volume_13,1,0.0,13
0,Citizens,Little Garden,115,115,0.0,1,,1,0,Brontosaurus,Volume_13,1,0.0,13
0,Citizens,Little Garden,116,117,0.0,1,,2,0,Dorry,Volume_13,2,0.0,13
0,Citizens,Little Garden,116,116,0.0,1,,1,0,Bronte Zaurus,Volume_13,1,0.0,13
0,Citizens,Kyuka Island,117,117,0.0,1,,1,0,Samurai Batts,Volume_13,1,0.0,13
1,Pirates,Others,110,113,0.22,0,,2,0,Mr. 13,Volume_13,2,1.0,13
0,Pirates,Others,114,114,0.0,1,,1,0,Miss All Sunday,Volume_13,1,0.0,13
1,Pirates,Officer Agents,110,111,0.22,0,,2,0,Miss Monday,Volume_13,2,1.0,13
0,Pirates,Straw Hat Pirates,110,117,0.0,0,,7,0,Nami,Volume_13,7,12.0,13
1,Pirates,Officer Agents,110,113,0.44,1,,4,0,Mr. 5,Volume_13,4,0.0,13
1,Pirates,Officer Agents,110,113,0.44,1,,4,0,Miss Valentine,Volume_13,4,0.0,13
1,Pirates,Straw Hat Pirates,109,117,1.0,0,,9,0,Monkey D. Luffy,Volume_13,9,12.0,13
0,Marines,Chore Boy,109,116,0.0,0,,6,0,Koby,Volume_13,6,12.0,13
0,Marines,Chore Boy,109,116,0.0,0,,6,0,Helmeppo,Volume_13,6,12.0,13
0,Pirates,Frontier Agents,109,109,0.0,0,,1,0,Mr. 8,Volume_13,1,1.0,13
0,Pirates,Straw Hat Pirates,109,117,0.0,0,,9,0,Roronoa Zoro,Volume_13,9,12.0,13
0,Pirates,Frontier Agents,109,109,0.0,0,,1,0,Miss Wednesday,Volume_13,1,1.0,13
0,Pirates,Frontier Agents,109,117,0.0,1,,9,0,Karoo,Volume_13,9,0.0,13
0,Marines,Vice Admiral,110,114,0.0,0,,3,0,Garp,Volume_13,3,2.0,13
1,Citizens,Arabasta,110,117,0.89,1,,8,0,Nefertari Vivi,Volume_13,8,0.0,13
1,Citizens,Arabasta,110,114,0.44,1,,4,0,Igaram,Volume_13,4,0.0,13
1,Pirates,Frontier Agents,109,110,0.22,0,,2,0,Mr. 9,Volume_13,2,1.0,13
0,Pirates,Straw Hat Pirates,119,126,0.0,0,,7,0,Roronoa Zoro,Volume_14,7,13.0,14
0,Pirates,Straw Hat Pirates,126,126,0.0,1,,1,0,Jango,Volume_14,1,0.0,14
0,Pirates,Straw Hat Pirates,124,126,0.0,0,,3,0,Sanji,Volume_14,3,9.0,14
1,Citizens,Little Garden,120,126,0.78,0,,7,0,Karoo,Volume_14,7,1.0,14
0,Marines,Vice Admiral,119,119,0.0,0,,1,0,Bogard,Volume_14,1,3.0,14
0,Marines,Vice Admiral,119,119,0.0,0,,1,0,Garp,Volume_14,1,3.0,14
0,Pirates,Straw Hat Pirates,119,126,0.0,0,,8,0,Usopp,Volume_14,8,11.0,14
0,Pirates,Straw Hat Pirates,119,126,0.0,0,,7,0,Nami,Volume_14,7,13.0,14
0,Pirates,Officer Agents,118,126,0.0,0,,9,0,Miss Valentine,Volume_14,9,1.0,14
0,Marines,Commander,118,119,0.0,0,,2,0,Helmeppo,Volume_14,2,13.0,14
1,Citizens,Shells Town,118,126,1.0,0,,9,0,Nefertari Vivi,Volume_14,9,1.0,14
0,Citizens,Shells Town,118,123,0.0,0,,6,0,Brogy,Volume_14,6,1.0,14
0,Citizens,Shells Town,118,120,0.0,0,,3,0,Dorry,Volume_14,3,1.0,14
0,Citizens,Shells Town,118,118,0.0,0,,1,0,Ririka,Volume_14,1,13.0,14
0,Citizens,Shells Town,118,118,0.0,0,,1,0,Rika,Volume_14,1,13.0,14
0,Marines,Commander,118,119,0.0,0,,2,0,Koby,Volume_14,2,13.0,14
0,Marines,Commander,118,118,0.0,0,,1,0,Ripper,Volume_14,1,13.0,14
1,Pirates,Straw Hat Pirates,118,126,1.0,0,,9,0,Monkey D. Luffy,Volume_14,9,13.0,14
0,Pirates,Officer Agents,126,126,0.0,0,,1,0,Crocodile,Volume_14,1,1.0,14
0,Pirates,Officer Agents,118,126,0.0,0,,9,0,Mr. 5,Volume_14,9,1.0,14
0,Pirates,Officer Agents,118,126,0.0,1,,8,0,Mr. 3,Volume_14,8,0.0,14
1,Pirates,Officer Agents,118,126,1.0,1,,9,0,Miss Goldenweek,Volume_14,9,0.0,14
0,Pirates,Bliking Pirates,131,136,0.0,1,,5,0,Wapol,Volume_15,5,0.0,15
0,Pirates,Bliking Pirates,131,136,0.0,1,,4,0,Kuromarimo,Volume_15,4,0.0,15
0,Pirates,Bliking Pirates,131,136,0.0,1,,5,0,Chess,Volume_15,5,0.0,15
0,Pirates,Straw Hat Pirates,127,136,0.0,0,,7,0,Jango,Volume_15,7,12.0,15
0,Citizens,Usopp Pirates,130,134,0.0,1,,3,0,Ninjin,Volume_15,3,0.0,15
0,Citizens,Usopp Pirates,130,134,0.0,1,,3,0,Piiman,Volume_15,3,0.0,15
0,Pirates,Officer Agents,129,129,0.0,1,,1,0,Akumai,Volume_15,1,0.0,15
0,Pirates,Officer Agents,129,129,0.0,1,,1,0,Mr. 2 Bon Kurei,Volume_15,1,0.0,15
0,Citizens,Arabasta Kingdom,129,129,0.0,1,,1,0,Yuki,Volume_15,1,0.0,15
0,Citizens,Arabasta Kingdom,129,129,0.0,0,,1,0,Igaram,Volume_15,1,2.0,15
0,Citizens,Usopp Pirates,129,134,0.0,1,,4,0,Tamanegi,Volume_15,4,0.0,15
0,Pirates,Frontier Agents,128,128,0.0,1,,1,0,Mr. 11,Volume_15,1,0.0,15
0,Marines,Captain,128,128,0.0,0,,1,0,Tashigi,Volume_15,1,4.0,15
0,Pirates,Others,127,127,0.0,0,,1,0,Miss Friday,Volume_15,1,3.0,15
0,Pirates,Others,127,127,0.0,0,,1,0,Mr. 13,Volume_15,1,3.0,15
0,Pirates,Others,127,127,0.0,0,,1,0,Miss All Sunday,Volume_15,1,2.0,15
0,Pirates,Others,127,130,0.0,0,,2,0,Crocodile,Volume_15,2,2.0,15
0,Marines,Captain,127,128,0.0,0,,2,0,Smoker,Volume_15,2,4.0,15
0,Citizens,Little Garden,127,133,0.0,0,,7,0,Karoo,Volume_15,7,2.0,15
0,Citizens,Little Garden,127,136,0.0,0,,10,0,Nefertari Vivi,Volume_15,10,2.0,15
0,Marines,Former,132,132,0.0,0,,1,0,Morgan,Volume_15,1,14.0,15
1,Citizens,Little Garden,127,129,0.3,0,,3,0,Brogy,Volume_15,3,2.0,15
0,Citizens,Arabasta,132,136,0.0,1,,5,0,Dalton,Volume_15,5,0.0,15
0,Pirates,Blackbeard Pirates,133,133,0.0,1,,1,0,Blackbeard,Volume_15,1,0.0,15
1,Pirates,Straw Hat Pirates,127,136,1.0,0,,10,0,Monkey D. Luffy,Volume_15,10,14.0,15
0,Pirates,Straw Hat Pirates,127,133,0.0,0,,7,0,Roronoa Zoro,Volume_15,7,14.0,15
0,Pirates,Straw Hat Pirates,127,136,0.0,0,,10,0,Nami,Volume_15,10,14.0,15
1,Pirates,Straw Hat Pirates,127,136,1.0,0,,10,0,Usopp,Volume_15,10,12.0,15
0,Pirates,Straw Hat Pirates,127,136,0.0,0,,10,0,Sanji,Volume_15,10,10.0,15
0,Pirates,Bliking Pirates,136,136,0.0,1,,1,0,Isshi-20,Volume_15,1,0.0,15
0,Animals,Others,135,135,0.0,1,,1,0,White Walkie,Volume_15,1,0.0,15
0,Pirates,Bliking Pirates,135,136,0.0,1,,2,0,Robson,Volume_15,2,0.0,15
0,Citizens,Arabasta,132,134,0.0,1,,3,0,Kureha,Volume_15,3,0.0,15
0,Animals,Others,134,135,0.0,1,,2,0,Lapahn,Volume_15,2,0.0,15
0,Citizens,Drum Island,134,135,0.0,1,,2,0,Tamachibi,Volume_15,2,0.0,15
0,Animals,Others,133,133,0.0,1,,1,0,Hiking Bear,Volume_15,1,0.0,15
0,Citizens,Drum Island,133,134,0.0,1,,2,0,Negikuma Maria,Volume_15,2,0.0,15
0,Citizens,Drum Island,133,134,0.0,1,,2,0,Tony Tony Chopper,Volume_15,2,0.0,15
0,Pirates,Blackbeard Pirates,133,133,0.0,1,,1,0,Laffitte,Volume_15,1,0.0,15
0,Pirates,Blackbeard Pirates,133,133,0.0,1,,1,0,Doc Q,Volume_15,1,0.0,15
0,Pirates,Blackbeard Pirates,133,133,0.0,1,,1,0,Jesus Burgess,Volume_15,1,0.0,15
0,Pirates,Blackbeard Pirates,133,133,0.0,1,,1,0,Van Augur,Volume_15,1,0.0,15
0,Citizens,Syrup Village,134,134,0.0,1,,1,0,Kaya,Volume_15,1,0.0,15
1,Citizens,Little Garden,127,129,0.3,0,,3,0,Dorry,Volume_15,3,2.0,15
0,Citizens,Drum Island,141,145,0.0,0,,5,0,Dalton,Volume_16,5,1.0,16
0,Pirates,Bliking Pirates,137,145,0.0,0,,6,0,Chess,Volume_16,6,1.0,16
0,Citizens,Arabasta,142,142,0.0,1,,1,0,Nefertari Cobra,Volume_16,1,0.0,16
0,Citizens,Arabasta,142,142,0.0,0,,1,0,Igaram,Volume_16,1,3.0,16
0,Citizens,Arabasta,142,142,0.0,1,,1,0,Thalassa Lucas,Volume_16,1,0.0,16
0,Pirates,Others,142,142,0.0,0,,1,0,Dragon,Volume_16,1,4.0,16
0,Marines,Lieutenant,143,145,0.0,1,,2,0,Fullbody,Volume_16,2,0.0,16
0,Pirates,Bliking Pirates,137,145,0.0,0,,6,0,Kuromarimo,Volume_16,6,1.0,16
0,Citizens,Drum Island,140,144,0.0,0,,2,0,Karoo,Volume_16,2,3.0,16
1,Citizens,Drum Island,140,145,0.67,1,,6,0,Hiriluk,Volume_16,6,0.0,16
0,Pirates,Straw Hat Pirates,137,141,0.0,0,,4,0,Roronoa Zoro,Volume_16,4,15.0,16
1,Citizens,Drum Island,138,145,0.89,0,,8,0,Tony Tony Chopper,Volume_16,8,1.0,16
0,Citizens,Drum Island,139,145,0.0,0,,6,0,Kureha,Volume_16,6,1.0,16
0,Pirates,Straw Hat Pirates,137,141,0.0,0,,5,0,Sanji,Volume_16,5,11.0,16
0,Pirates,Straw Hat Pirates,137,141,0.0,0,,4,0,Usopp,Volume_16,4,13.0,16
0,Pirates,Straw Hat Pirates,137,144,0.0,0,,6,0,Nami,Volume_16,6,15.0,16
0,Pirates,Bliking Pirates,137,145,0.0,0,,8,0,Wapol,Volume_16,8,1.0,16
1,Pirates,Straw Hat Pirates,137,145,0.67,0,,6,0,Monkey D. Luffy,Volume_16,6,15.0,16
0,Citizens,Arabasta,137,144,0.0,0,,6,0,Nefertari Vivi,Volume_16,6,3.0,16
0,Pirates,Straw Hat Pirates,138,145,0.0,0,,6,0,Jango,Volume_16,6,13.0,16
0,Pirates,Bliking Pirates,137,141,0.0,0,,4,0,Robson,Volume_16,4,1.0,16
0,Pirates,Officer Agents,155,155,0.0,1,,1,0,Mr. 1,Volume_17,1,0.0,17
0,Pirates,Frontier Agents,155,155,0.0,1,,1,0,Mr. 7,Volume_17,1,0.0,17
0,Pirates,Officer Agents,155,155,0.0,0,,1,0,Mr. 3,Volume_17,1,3.0,17
0,Pirates,Officer Agents,155,155,0.0,0,,1,0,Miss Goldenweek,Volume_17,1,3.0,17
0,Pirates,Officer Agents,155,155,0.0,1,,1,0,Mr. 4,Volume_17,1,0.0,17
0,Pirates,Officer Agents,155,155,0.0,1,,1,0,Miss Merry Christmas,Volume_17,1,0.0,17
0,Pirates,Officer Agents,155,155,0.0,0,,1,0,Mr. 5,Volume_17,1,4.0,17
0,Pirates,Officer Agents,155,155,0.0,0,,1,0,Miss Valentine,Volume_17,1,4.0,17
0,Pirates,Frontier Agents,155,155,0.0,1,,1,0,Mr. 6,Volume_17,1,0.0,17
0,Pirates,Frontier Agents,155,155,0.0,1,,1,0,Miss Mother's Day,Volume_17,1,0.0,17
0,Pirates,Officer Agents,155,155,0.0,1,,1,0,Miss Doublefinger,Volume_17,1,0.0,17
0,Pirates,Frontier Agents,155,155,0.0,1,,1,0,Mr. 10,Volume_17,1,0.0,17
